feature,log_mu,log_sigma,log_gamma,log_kappa,average_importance
logRe,4.303063378986206,2.200258391477416,0.5592152352581747,2.11912849455639,2.2954163750695464
Re,3.8026380203228713,1.8594379454685432,0.521246880304578,1.9834205006211822,2.0416858366792936
invFr_x_Re,0.44046503098300405,0.9510250360267092,0.7294170457841639,2.8562882011768367,1.2442988284926784
inv_Fr,0.018766618170280865,0.7279528363019984,0.651221540907258,2.496222845640242,0.9735409602549449
invFr_x_St,0.02385225090929531,0.5383967840499363,0.1755304749651629,0.6805857999722186,0.3545913274741533
Re_x_St,0.29617609724947036,0.21973294057261683,0.03187914890159511,0.12161891459878821,0.16735177533061762
logRe_x_logSt,0.07992033329281768,0.15351843871261642,0.019688722304758332,0.10110948263515793,0.08855924423633758
logSt,0.05053975895389673,0.10692049804705116,0.007388229055248479,0.04286766010476123,0.0519290365402394
St,0.05823450113275816,0.0871633948182008,0.007004969604101299,0.0381678688307524,0.04764268359645316
